seed,condition,facts,item,depth,ntok,logprob_per_token
0,cold,A,0,0.0,34,-1.4785210105576827
0,cold,A,1,0.0272,22,-2.322011395188218
0,cold,A,2,0.0469,27,-1.9420426509610411
0,cold,A,3,0.073,18,-0.020031366525169386
0,cold,A,4,0.0934,29,-1.1028169109746975
0,cold,A,5,0.1373,16,-2.8808592885616235
0,cold,A,6,0.1546,15,-0.9824632750203212
0,cold,A,7,0.1703,28,-1.2234481564290556
0,cold,A,8,0.1948,26,-1.9495548102736042
0,cold,A,9,0.2201,54,-0.42765871379546955
0,cold,A,10,0.2747,54,-2.2050572619773448
0,cold,A,11,0.3193,63,-2.7059100766015787
0,cold,A,12,0.3626,27,-2.9332670765342534
0,cold,A,13,0.3881,36,-1.503256901604699
0,cold,A,14,0.4188,14,-3.2227137024913515
0,cold,A,15,0.4514,19,-1.566964347038026
0,cold,A,16,0.469,41,-2.321191737996187
0,cold,A,17,0.527,21,-2.760785294341899
0,cold,A,18,0.5449,35,-1.7210231369893465
0,cold,A,19,0.5667,31,-2.319837935088623
0,cold,A,20,0.6021,24,-3.1235595451241047
0,cold,A,21,0.6213,19,-4.078944169229975
0,cold,A,22,0.6668,66,-2.6447930795310173
0,cold,A,23,0.7106,33,-3.7621508318309984
0,cold,A,24,0.7381,48,-3.6339296215301147
0,cold,A,25,0.7789,18,-2.781116531954871
0,cold,A,26,0.8335,17,-0.6751646809913355
0,cold,A,27,0.8583,38,-2.1800108950579
0,cold,A,28,0.8862,19,-2.4878380241142097
0,cold,A,29,0.9051,30,-2.5572241767154384
0,cold,A,30,0.9245,24,-2.2596119516529143
0,cold,A,31,0.9465,13,-1.210427180219155
0,cold,A,32,0.9629,31,-2.5201999811988864
0,cold,B,0,0.0827,29,-0.005465105678640298
0,cold,B,1,0.1627,16,-0.005618306257929362
0,cold,B,2,0.2377,16,-0.02144459983355773
0,cold,B,3,0.3121,22,-0.0035890504031241026
0,cold,B,4,0.3699,21,-0.009180356830170024
0,cold,B,5,0.4786,19,-0.014246430912814839
0,cold,B,6,0.6708,37,-0.006586933630387648
0,cold,B,7,0.7241,15,-0.001895377292324459
0,cold,B,8,0.879,21,-0.003544828571778323
0,cold,B,9,0.9334,27,-0.012900395268203553
0,warm,A,0,0.0,34,-1.5645035914323457
0,warm,A,1,0.0272,22,-2.274718606781045
0,warm,A,2,0.0469,27,-1.821611424065109
0,warm,A,3,0.073,18,-0.018020016976354074
0,warm,A,4,0.0934,29,-1.3077913867470263
0,warm,A,5,0.1373,16,-2.4019769781443756
0,warm,A,6,0.1546,15,-0.9845470594863097
0,warm,A,7,0.1703,28,-1.1721620095860479
0,warm,A,8,0.1948,26,-1.934744694917194
0,warm,A,9,0.2201,54,-0.48075404352772677
0,warm,A,10,0.2747,54,-2.193494547607972
0,warm,A,11,0.3193,63,-2.6899381915388245
0,warm,A,12,0.3626,27,-2.934997257121183
0,warm,A,13,0.3881,36,-1.4547225322587312
0,warm,A,14,0.4188,14,-2.9812112088714326
0,warm,A,15,0.4514,19,-1.4909149125022323
0,warm,A,16,0.469,41,-2.208485212574554
0,warm,A,17,0.527,21,-2.7794716913430464
0,warm,A,18,0.5449,35,-1.8148669407736244
0,warm,A,19,0.5667,31,-2.3305647679183994
0,warm,A,20,0.6021,24,-3.070952851102144
0,warm,A,21,0.6213,19,-3.9366960253223384
0,warm,A,22,0.6668,66,-2.6923295997926426
0,warm,A,23,0.7106,33,-3.7120766426634155
0,warm,A,24,0.7381,48,-3.6901174870848386
0,warm,A,25,0.7789,18,-2.59918555451764
0,warm,A,26,0.8335,17,-0.7038395538008498
0,warm,A,27,0.8583,38,-2.144057532752509
0,warm,A,28,0.8862,19,-2.314792340161818
0,warm,A,29,0.9051,30,-2.546639914007392
0,warm,A,30,0.9245,24,-2.1524310191938034
0,warm,A,31,0.9465,13,-1.199507576198532
0,warm,A,32,0.9629,31,-2.4967652987087927
0,warm,B,0,0.0827,29,-0.0067550109464530675
0,warm,B,1,0.1627,16,-0.006452966867072973
0,warm,B,2,0.2377,16,-0.015259490312018897
0,warm,B,3,0.3121,22,-0.002857058169452516
0,warm,B,4,0.3699,21,-0.01136498287641665
0,warm,B,5,0.4786,19,-0.03124850362234467
0,warm,B,6,0.6708,37,-0.007300436826512482
0,warm,B,7,0.7241,15,-0.0014143150245824168
0,warm,B,8,0.879,21,-0.005799546502419703
0,warm,B,9,0.9334,27,-0.009315457274809617
