seed,condition,facts,item,depth,ntok,logprob_per_token
0,cold,A,0,0.0,34,-1.4196818346869857
0,cold,A,1,0.0625,22,-2.195871429041621
0,cold,A,2,0.1076,27,-0.0010017899640607302
0,cold,A,3,0.1675,18,-0.022142084655772325
0,cold,A,4,0.2142,29,-1.0847742638093065
0,cold,A,5,0.3148,16,-2.100860081409337
0,cold,A,6,0.3546,15,-1.4092939359446366
0,cold,A,7,0.3905,28,-1.265384451261655
0,cold,A,8,0.4467,26,-1.96718235550305
0,cold,A,9,0.5047,54,-0.3861382579985999
0,cold,A,10,0.63,54,-2.0661137001632057
0,cold,A,11,0.7322,63,-2.640163503897687
0,cold,A,12,0.8315,27,-2.9152075800078885
0,cold,A,13,0.8899,36,-1.5312751359841867
0,cold,A,14,0.9603,14,-3.293801414115088
0,cold,B,0,0.0,35,-0.00115186666288147
0,cold,B,1,0.1244,19,-0.008961741206899444
0,cold,B,2,0.171,35,-0.0005773816956986724
0,cold,B,3,0.2678,14,-0.010244869394617646
0,cold,B,4,0.3655,27,-0.0010017899640607302
0,cold,B,5,0.4504,33,-0.00369852230322508
0,cold,B,6,0.5496,24,-0.0025425310150239966
0,cold,B,7,0.6103,32,-0.000562479744189659
0,cold,B,8,0.6596,14,-0.0027634904512784226
0,cold,B,9,0.7138,19,-0.0038873609706857487
0,cold,B,10,0.7718,17,-0.004192151618018911
0,cold,B,11,0.814,38,-0.003017055961065221
0,cold,B,12,0.8796,75,-0.005802702905784826
0,warm,A,0,0.0,34,-1.4266323323707397
0,warm,A,1,0.0625,22,-2.1142569031508174
0,warm,A,2,0.1076,27,-0.003181626081102338
0,warm,A,3,0.1675,18,-0.01766064884941443
0,warm,A,4,0.2142,29,-1.1057330577268971
0,warm,A,5,0.3148,16,-2.0064756372594275
0,warm,A,6,0.3546,15,-1.3034395731985569
0,warm,A,7,0.3905,28,-1.2520363844897864
0,warm,A,8,0.4467,26,-1.9008196971352356
0,warm,A,9,0.5047,54,-0.41615156313508594
0,warm,A,10,0.63,54,-2.102315243844512
0,warm,A,11,0.7322,63,-2.574774241939719
0,warm,A,12,0.8315,27,-2.858440696908575
0,warm,A,13,0.8899,36,-1.4712724119552958
0,warm,A,14,0.9603,14,-3.299220532178879
0,warm,B,0,0.0,35,-0.003681368329229632
0,warm,B,1,0.1244,19,-0.012326707777518956
0,warm,B,2,0.171,35,-0.00033147645715010703
0,warm,B,3,0.2678,14,-0.015552301111451275
0,warm,B,4,0.3655,27,-0.003181626081102338
0,warm,B,5,0.4504,33,-0.005727123701283496
0,warm,B,6,0.5496,24,-0.007387632967038371
0,warm,B,7,0.6103,32,-0.0009639253448767704
0,warm,B,8,0.6596,14,-0.0040080248880778
0,warm,B,9,0.7138,19,-0.0115426702081765
0,warm,B,10,0.7718,17,-0.014279738276587416
0,warm,B,11,0.814,38,-0.002144470456474473
0,warm,B,12,0.8796,75,-0.004854955399059691
0,mismatched,A,0,0.0,34,-1.6313699562139363
0,mismatched,A,1,0.0625,22,-2.1794501909382897
0,mismatched,A,2,0.1076,27,-0.0034723944780934188
0,mismatched,A,3,0.1675,18,-0.036641905968685426
0,mismatched,A,4,0.2142,29,-1.5455779770393214
0,mismatched,A,5,0.3148,16,-2.229471941012889
0,mismatched,A,6,0.3546,15,-1.1866066737721364
0,mismatched,A,7,0.3905,28,-1.2925125860409545
0,mismatched,A,8,0.4467,26,-1.9665683097510527
0,mismatched,A,9,0.5047,54,-0.5658077607682505
0,mismatched,A,10,0.63,54,-2.3346854567967563
0,mismatched,A,11,0.7322,63,-2.690926232596948
0,mismatched,A,12,0.8315,27,-3.079957847069535
