seed,condition,facts,item,depth,ntok,logprob_per_token
0,cold,A,0,0.773,17,-2.03761454582769
0,cold,A,1,0.2078,17,-3.5444554267999004
0,cold,A,2,0.8144,39,-2.800840691115576
0,cold,A,3,0.9518,28,-2.5911131707772648
0,cold,A,4,0.556,20,-1.5555242754053324
0,cold,A,5,0.172,15,-2.332331558999916
0,cold,A,6,0.1425,15,-3.118348193836088
0,cold,A,7,0.3159,23,-2.925986484523215
0,cold,A,8,0.0071,18,-0.01718184453885543
0,cold,A,9,0.3213,33,-3.303558575176408
0,cold,A,10,0.3132,40,-1.8859721708737198
0,cold,A,11,0.8285,33,-2.0715105910763447
0,cold,A,12,0.0919,13,-1.2145754606821215
0,cold,A,13,0.6555,38,-2.006149038813371
0,cold,A,14,0.653,26,-1.4697769596308576
0,cold,A,15,0.2536,11,-1.1783402295444498
0,cold,A,16,0.5547,16,-2.3276988101329152
0,cold,A,17,0.639,29,-2.5275566850394107
0,cold,A,18,0.1024,24,-2.8235145203458765
0,cold,A,19,0.0189,26,-1.9483192972435903
0,cold,A,20,0.6459,20,-2.454023975068412
0,cold,A,21,0.5616,15,-0.07311533146227399
0,cold,A,22,0.965,26,-0.5812288758300453
0,cold,A,23,0.0585,24,-3.0269724657215797
0,cold,A,24,0.1171,20,-1.3928203122231935
0,cold,A,25,0.7381,21,-1.8095039604339123
0,cold,A,26,0.086,19,-2.5883265202865005
0,cold,A,27,0.0809,17,-0.5436685466950567
0,cold,A,28,0.0647,66,-2.538820744754379
0,cold,A,29,0.8555,31,-2.1464005699080806
0,cold,A,30,0.5052,15,-0.6584189304616302
0,cold,A,31,0.6714,24,-2.65827343823427
0,cold,A,32,0.3195,22,-3.7074947147206827
0,cold,A,33,0.5744,28,-2.719818220731603
0,cold,A,34,0.6053,48,-2.2394133918314765
0,cold,A,35,0.5157,32,-1.2983903886597545
0,cold,A,36,0.5244,32,-1.155273953386768
0,cold,A,37,0.8359,20,-1.7694566726568155
0,cold,A,38,0.6791,16,-2.007512746960856
0,cold,A,39,0.445,18,-4.192661816254258
0,cold,A,40,0.768,18,-1.6222193512237735
0,cold,A,41,0.0026,22,-2.2905084118617443
0,cold,A,42,0.6666,16,-2.162077803746797
0,cold,A,43,0.8197,29,-2.1650221680716517
0,cold,A,44,0.1403,30,-1.117776505929578
0,cold,A,45,0.936,29,-0.8390518497912879
0,cold,A,46,0.0717,48,-3.7592768874346802
0,cold,A,47,0.0438,19,-1.5321970315356004
0,cold,A,48,0.6093,18,-1.118704682399362
0,cold,A,49,0.3586,31,-2.7902628245252754
0,cold,A,50,0.2098,33,-1.6907737127939155
0,cold,A,51,0.0993,15,-3.127910679082076
0,cold,A,52,0.6003,32,-1.0760183367630134
0,cold,A,53,0.9584,16,-2.2353238396244706
0,cold,A,54,0.7749,32,-3.462704364443198
0,cold,A,55,0.4905,35,-2.612700010903479
0,cold,A,56,0.2473,22,-1.4643764409490607
0,cold,A,57,0.4995,33,-3.0613046083881548
0,cold,A,58,0.577,16,-3.0652912019286305
0,cold,A,59,0.2452,23,-1.8187356110100392
0,cold,A,60,0.2966,43,-1.9961297878410753
0,cold,A,61,0.9958,15,-2.5237448359529178
0,cold,A,62,0.1761,23,-3.1781164679838265
0,cold,A,63,0.4477,16,-3.0080451297108084
0,cold,A,64,0.1646,21,-2.021177036632296
0,cold,A,65,0.7436,44,-1.9023014086117407
0,cold,A,66,0.3921,27,-2.2460493352954036
0,cold,A,67,0.9769,22,-2.5940171867906345
0,cold,A,68,0.3888,37,-3.159702340090597
0,cold,A,69,0.1799,20,-2.613043497444596
0,cold,A,70,0.7001,15,-1.677547130844323
0,cold,A,71,0.6582,31,-1.101485996599114
